formulae,charges
['C46H70O2'],[0]
['C47H72O3'],[0]
['C47H72O2'],[0]
['C46H70O'],[0]
['C77H144O17P2'],[-2]
['C31H44O2'],[0]
['C91H166NO38P'],[0]
['C93H172N2O41P2'],[0]
['C5H9O7P'],[-2]
['C5H9O8P'],"[-2, -1]"
[],[]
['C6H15N4O2'],"[0, 1]"
['C6H11O2X'],[0]
['C10H19O2X'],[0]
['C18H33OX'],[0]
['C25H38N7O18P3S'],[-4]
"['C8H15OX', 'C29H55N2O8PRS']",[0]
['C10H19OX'],[0]
['C14H25O2X'],[0]
['C35H56N7O17P3S'],[-4]
['C33H52N7O17P3S'],[-4]
['C27H40N7O17P3S'],[-4]
['C25H36N7O17P3S'],[-4]
['C39H60N7O17P3S'],[-4]
['C39H62N7O17P3S'],[-4]
['C2H7NO4P'],[-1]
['C4040H7524N100O800P100'],[0]
['C39H66N7O17P3S'],[-4]
['C4740H8024N300O1500P200'],[-200]
['C4140H7424O1300P200'],[-300]
['C5H9O8P'],"[0, -2, -1]"
['C4H6N4O'],[0]
['X'],[0]
['C10H12N5O8P'],[-2]
['C18H38NO2'],[1]
['C2H7NO4P'],[-1]
['C13H25NO2S2'],[0]
"['C25H38N7O18P3S', 'C25H39N7O18P3S']","[-4, -3]"
['C7980H14248O1700P200'],[-200]
[],[]
['C4H8O2'],[0]
[],[]
['C71H118N2O17P2'],[0]
['C5H9NO3'],[0]
['C6H14N2O2'],[0]
[],[]
['H3PO3'],[-2]
['C5H10O2'],[0]
['C6H12O4'],[0]
['C6H12O5'],[0]
['C5H8O4'],[0]
['C5H10O'],[0]
[],[]
[],[0]
"['C10H17N2O3', 'C10H18N2O3']","[0, -1]"
['C5H11NO2'],[0]
['C3H5O6P'],[0]
['C12H11N2O5'],[0]
['C5H10O2'],[0]
[],[]
['C6H12O6'],[0]
['C6H11O6PS'],[0]
['C9H6O4'],[0]
[],[]
[],[]
['C16H32O2'],[]
['C37H66N7O17P3S'],[]
['C18H35OSR'],[]
['C31H50N7O17P3S'],[]
['C39H67N7O17P3S'],[]
['C6H11O2SR'],[]
['C10H19O2SR'],[]
['C16H31O2SR'],[]
['C31H54N7O18P3S'],[]
['C33H58N7O18P3S'],[]
['C35H62N7O18P3S'],[]
['C8H13O2SR'],[]
['C10H17O2SR'],[]
['C12H21O2SR'],[0]
['C27H44N7O18P3S'],[]
['C4H5OSR'],[]
['C4H5O2SR'],[0]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
['C4H9NO2Se'],[0]
['C21H42O4'],[0]
['C21H38O4'],[0]
['C81H136N1O33P5'],[-2]
['C29H44N7O19P3S2'],[-4]
"['C35H56N7O18P3S', 'C33H52N7O18P3S']",[-4]
['C33H52N7O18P3S'],[-4]
['C37H60N7O18P3S'],[-4]
['C37H60N7O18P3S'],[-4]
['C39H62N7O18P3S'],[-4]
['C30H48N7O18P3S'],[-4]
['C37H54N7O18P3S'],[-4]
['C35H50N7O18P3S'],[-4]
['C32H44N7O18P3S'],[-4]
['C31H46N7O18P3S'],[-4]
['C28H42N7O18P3S'],[-4]
['C30H46N7O18P3S'],[-4]
['C37H52N7O18P3S'],[-4]
['C34H46N7O18P3S'],[-4]
['C39H62N7O18P3S'],[-4]
['C6H4NO3'],[-1]
['C10H19O3R'],[0]
['C10H17O3R'],[0]
['C12H21O3R'],[0]
['C12H21O3R'],[0]
['C14H25O3R'],[0]
['C4H7O3R'],[0]
['C6H11O3R'],[0]
['C6H9O4S'],[-1]
['C6H9O4S'],[-1]
['C8H13O4S'],[-1]
['C10H19O3'],[-1]
['C12H21O3'],[-1]
['C12H21O3'],[-1]
['C12H23O3'],[-1]
['C12H23O3'],[-1]
['C7H13O3'],[-1]
['C7H13O3'],[-1]
['C9H17O3'],[-1]
['C10H11O3'],[-1]
['C31H42N7O18P3S'],[-4]
['C16H23O3'],[-1]
['C13H17O3'],[-1]
['C11H13O3'],[-1]
['C5H9O3'],[-1]
['C35H54N7O18P3S'],[-4]
['C6H12N2O3'],[0]
['C4H8O2'],[0]
['C9H14N4O3'],[0]
['C9H14N4O3'],[0]
['C14H17N3O3'],[0]
['C36H43O34'],[-5]
['C38H45O35'],[-5]
['C40H47O36'],[-5]
['C4H8N2O3'],[0]
['C6H12N2O3'],[0]
['C6H12N2O3'],[0]
['C6H12N2O3'],[0]
['C6H12N2O3'],[0]
['C3H9N2O'],[1]
['C3H9N2O'],[1]
['C9H7O2'],[-1]
['C73H132O17P2'],[-2]
['CrO2'],[-1]
['C33H52N7O17P3S'],[-4]
['C31H46N7O17P3S'],[-4]
['C6H18N6'],[2]
['C12H16O13'],[-2]
['RFe'],[3]
['C122H212N2O63P2'],[-6]
['C8H14O4N2'],[0]
['C12H28O3N4'],[2]
"['C5H6O4', 'C5H6O3']","[0, -2]"
['C7H13N3O4'],[0]
['C7H13N3O4'],[0]
['C7H14N2O3S'],[0]
['C5H10N2O4'],[0]
['C3H7N3O2'],[0]
['C37H56N7O17P3S'],[-4]
['C112H196N3O62P5'],[-10]
['C8H7O4'],"[0, -1]"
['C8H12N4O3'],[0]
['C103H180N2O47P2'],[-6]
['C7H13O2'],[-1]
['C110H191N2O56P3'],[-8]
['C10H8NO2'],[-1]
['C72H124N2O37P2'],[-6]
['C6H15N2O2'],[1]
['C43H71N5O10'],[2]
['C5H12N2O3'],[0]
['C30H48N7O17P3S'],[-4]
['C41H78N1O8P1'],[0]
['C9H11NO2'],[0]
['C16H23O2'],[-1]
['C13H17O2'],[-1]
['C12H15O2'],[-1]
['C14H19O2'],[-1]
['C2H2O5P'],[-3]
['C34H46N7O17P3S'],[-4]
['C9H7O3'],[-1]
['C36H52N7O17P3S'],[-4]
['RC14H8N2O3'],[0]
['C14H5N2O8'],"[-4, -3]"
['C30H37O31'],[-5]
['C30H37O31'],[-5]
['C34H41O33'],[-5]
['C38H45O35'],[-5]
['C30H37O31'],[-5]
['C5H9NO2'],[0]
['C18H33O2'],[-1]
['C39H64N7O17P3S'],[-4]
['SbO3'],[-3]
['SbO3'],[-3]
['C57H104O6'],[0]
['C57H98O6'],[0]
['C35H52N7O17P3S'],[-4]
['C35H54N7O17P3S'],[-4]
['C18H23O19'],[-3]
['C7H10O3R'],[0]
['C7H10O2R'],[0]
['C37H63N3O20P2'],[-2]
['C5H11NO2'],[0]
['C5H11NO2'],[0]
['C5H8O3'],[0]
['C11H22O'],[0]
['C11H22O'],[0]
['C10H20O2'],[0]
['C10H20O2'],[0]
['C5H9O3'],[-1]
['C26H38N7O18P3S'],[-4]
['C26H39N7O21P4S'],[-6]
['C26H38N7O17P3S'],[-4]
['C5H11NO4P'],[-1]
['C5H12N2O3S'],[0]
['C5H12N2O3S'],[0]
['C7H13N2O4S'],[-1]
['C7H13N2O4S'],[-1]
['C157H272N2O82P3'],[-9]
['C163H282N2O87P3'],[-9]
[],[]
['C7H5O4'],[-1]
['C170H294N2O93P3'],[-9]
['C350H612N17O221P4'],[13]
['C3570H6392N202O2596P4'],[488]
['C2870H5192N202O1996P4'],[488]
['C215H379N5O112P2'],[22]
['C905H1614N50O607P2'],[122]
['C1020H1817N52O696P4'],[113]
['C2170H3592N2O1596P4'],[88]
['C1020H1817N52O671P4'],[113]
['C3455H6189N200O2307P2'],[497]
['C175H294O92P2'],[2]
['C905H1614N50O582P2'],[122]
['C970H1692N2O671P4'],[88]
['C3570H6392N202O2396P4'],[488]
['C3770H6692N302O2596P4'],[488]
['C1020H1817N52O671P4'],[113]
['C2170H3592N2O1596P4'],[88]
['C340H597N12O211P4'],[13]
['C2970H5292N202O2096P4'],[388]
['C305H552N17O181P4'],[13]
['C2455H4189O1707P2'],[97]
['C2570H4392N2O1796P4'],[88]
['C225H379N10O122P2'],[17]
['C2570H4392N2O1796P4'],[88]
['C970H1717N52O771P4'],[113]
['C655H1114O432P2'],[22]
['C89H150N2O31P2'],[2]
['C155H254O82P2'],[2]
['C270H457N2O171P4'],[-7]
['C1020H1817N52O721P4'],[113]
['C91H153N3O32P2'],[2]
['C91H153N3O32P2'],[2]
['C3570H6092N202O2396P4'],[388]
['C89H150N2O32P2'],[2]
['C17H22N3O18P2'],[-3]
['C91H153N3O31P2'],[2]
['C83H139N2O26P2'],[1]
['C320H567N17O181P4'],[8]
['C755H1339N50O482P2'],[97]
['C880H1564N50O607P2'],[122]
['C310H542N12O191P4'],[8]
['C995H1767N52O696P4'],[113]
['C905H1614N50O582P2'],[122]
['C71H119N3O15P2'],[0]
['C17H27N4O15P2'],[-1]
['C67H111O17P2'],[-1]
['C195H339N10O102P2'],[17]
['C2970H5292N202O1896P4'],[388]
['C73H122O22P2'],[0]
['C91H153N3O31P2'],[2]
['C89H147N2O33P2'],[1]
['C89H147N2O33P2'],[1]
['C845H1592N77O521P4'],[113]
['C755H1339N50O457P2'],[97]
['C300H527N7O196P4'],[8]
['C81H134O27P2'],[0]
['C89H150N2O30P2'],[2]
['C905H1614N50O582P2'],[122]
['C83H139N2O26P2'],[1]
['C190H334N10O102P2'],[22]
['C2970H5292N202O1996P4'],[388]
['C195H339N10O102P2'],[17]
['C310H542N12O196P4'],[8]
['C185H324N5O107P2'],[17]
['C16H23N5O14P2'],[-2]
['C89H150N2O30P2'],[2]
['C1020H1742N52O671P4'],[88]
['C83H139N2O26P2'],[1]
['C3970H6892N102O2996P4'],[488]
['C3455H6189N200O2507P2'],[497]
['C340H597N12O211P4'],[13]
['C1070H1892N77O721P4'],[113]
['C2055H3389O1507P2'],[97]
['C17H22N3O18P2'],[-3]
['C870H1542N52O571P4'],[88]
['C89H150N2O30P2'],[2]
['C16H26N3O14P2'],[-1]
['C330H582N7O201P4'],[13]
['C3770H6692N302O2596P4'],[488]
['C16H25N6O14P2'],[-1]
"['C310H542N12O186P4charge12', 'C310H542N12O186P4']",[-9]
['C215H369O122P2'],[17]
['C89H150N2O30P2'],[2]
['C83H139N2O26P2'],[1]
['C200H334N20O92P2'],[12]
['C16H22N6O13P2'],[-2]
['C185H324N5O107P2'],[17]
['C300H527N7O196P4'],[8]
['C3355H5989N200O2407P2'],[497]
['C780H1314N100O432P2'],[72]
['C3570H6392N202O2396P4'],[488]
['C89H150N2O30P2'],[2]
['C3770H6692N302O2496P4'],[488]
['C755H1339N50O482P2'],[97]
['C1020H1817N52O671P4'],[113]
['C89H150N2O30P2'],[2]
['C3370H5892N2O2396P4'],[388]
['C770H1317N2O521P4'],[13]
['C3570H6392N202O2396P4'],[488]
['C82H141N3O24P2'],[2]
['C2570H4392N2O1796P4'],[88]
['C3455H6189N200O2507P2'],[497]
['C89H150N2O32P2'],[2]
['C905H1614N50O582P2'],[122]
['C310H542N12O191P4'],[8]
['C175H294O92P2'],[2]
['C2455H4189O1707P2'],[97]
['C770H1317N2O521P4'],[13]
['C89H150N2O31P2'],[2]
['C91H154N1O35P2'],[3]
['C82H141N3O24P2'],[2]
['C2870H5492N302O1796P4'],[488]
['C335H587N12O216P4'],[13]
['C223H323N21O132P2'],[-2]
['C4955H8289N700O3807P202'],[297]
['C290H497N2O181P4'],[-7]
['C225H394N10O132P2'],[22]
['C3570H6392N202O2496P4'],[488]
['C3070H5192N402O1796P4'],[288]
['C870H1542N52O571P4'],[88]
['C845H1517N52O571P4'],[113]
['C730H1314N50O482P2'],[122]
['C1020H1817N52O721P4'],[113]
['C3370H6092N102O2196P4'],[488]
['C340H597N12O211P4'],[13]
['C215H374N10O142P2'],[22]
['C290H497N2O181P4'],[-7]
['C755H1339N50O457P2'],[72]
['C2970H5292N202O1996P4'],[388]
['C2855H5089N200O1807P2'],[297]
['C3770H6692N302O2596P4'],[488]
['C1395H2342N177O1046P54'],[63]
['C870H1542N52O546P4'],[88]
['C338H526N23O221P4'],[-11]
['C305H537N12O191P4'],[13]
['C20H21N7O7'],[-2]
['C35H64O5'],[0]
['C3H8O2'],[0]
['C32H38N7O19P3S'],[-4]
['C15H29O7P1'],[-2]
"['C19H35O7P1', 'C19H35O7P']",[-2]
"['C19H37O7P1', 'C19H37O7P']",[-2]
"['C21H39O7P', 'C21H39O7P1']",[-2]
['C7H5NO4'],[-2]
['C6H7O7'],[-1]
['C7H14N2O4'],[0]
['C23H46NO7P1'],[0]
['C22H44O9P1'],[-1]
['C22H42O9P1'],[-1]
['C24H48O9P1'],[-1]
['C24H46O9P1'],[-1]
['C12H13NO9P'],[-3]
['C5H9O7P'],[-2]
['C6H8N3O7P2'],[-3]
['C7H5O6'],[-3]
['C4H5O3'],[-1]
['C48H74O3'],[0]
['C3H4O7P'],[-3]
['C17H34O7P1'],[-1]
['C25H38N7O18P3S'],[-4]
"['C27H49N2O9PRS', 'C400H631O144N96P1S3']",[-1]
['C33H54N7O18P3S'],[-4]
['C27H42N7O18P3S'],[-4]
['C3H5O3'],[-1]
"['C25H43N2O9PRS', 'C398H625O144N96P1S3']",[-1]
"['C402H633O144N96P1S3', 'C18H31O2SR', 'C29H51N2O9PRS']","[0, -1]"
['C37H60N7O18P3S'],[-4]
['C39H64N7O18P3S'],[-4]
['C35H56N7O18P3S'],[-4]
['C29H39N7O20P3S'],[-5]
['C6H9N3O'],[0]
['C7H8O'],[0]
['C6H9O3'],"[0, -1]"
['C6H8NO4PS'],[-2]
"['C12H19N2O9PS', 'C12H20N2O9PS']",[-3]
['C4H6N2O2'],[0]
['C9H13N4O9P'],[-2]
['C6H6O7'],[-2]
['C5H10O4'],[0]
['C7H9N5O2'],[0]
['C7H8N5O8P2'],[-3]
['C6H9O9P'],[-2]
['C8H13N2O5'],[-1]
['C18H30N5O9'],[-1]
['C12H14N2O2'],[0]
['C25H36N7O18P3S'],[-4]
['C23H34N7O17P3S'],"[0, -4]"
['C7H9NO8P'],[-3]
['C8H15NO6'],[0]
['C8H14NO9P'],[-2]
['C14H24O12'],[0]
['C11H18NO9'],[-1]
['C7H6O6'],"[0, -2]"
['C58H84CoN16O11'],[1]
['C16H23N5O15P2'],[-2]
"['C68CoH95N21O21P2', 'C68H95CoN21O21P2']",[-1]
['C5H16N4'],[2]
"['C8H12N3O7P', 'C8H13N3O7P']","[-2, -1]"
['C5H7O4'],"[0, -1]"
"['C3H7NOR', 'C3H6NOR', 'C3H7NO2X', 'C18H28NO17P2R3']","[1, -2]"
['C6H12O6'],[0]
['C4H7N4O4'],[-1]
['C15H19N5O6S'],[0]
['C10H12N5O7P'],[-2]
['C37H57N7O20'],[-2]
['C20H24N10O19P4'],[-4]
['C42H80O11P'],[-1]
['C48H92O11P'],[-1]
['C48H86O11P'],[-1]
['C12H15O10P'],[-2]
['C22H33N4O13'],[-3]
['C10H17N4O6'],[-1]
['C6H7O9P'],"[-3, -2]"
"['C19H29N2O18P2R3', 'C4H8N2O3X', 'C14H23N2O12PR2', 'C4H8N2O2R', 'C14H24N2O12PR2']","[1, -2]"
['AsO4'],"[-3, -2]"
['C4H6NO4'],"[0, -1]"
['C4H7NO3'],[0]
['C4H9NO3'],[0]
['C25H36N7O17P3S'],[-4]
['C28H46N8O17P3S'],[-3]
['C40H44N20O27P4S4Mo'],[-4]
['C4H7O2'],[-1]
['C40H44N20O27P4S4W'],[-4]
['C48H72CoN11O8'],[0]
['CH2NO5P'],[-2]
['Cd'],[2]
['C36H63N3O15P2'],[-2]
['C9H9O4'],[-1]
['C16H27N2O14P'],[-2]
['Cl'],[-1]
['C9H12N3O8P'],[-2]
['C21H32N7O16P3S'],"[0, -4]"
['C44H82O10P1'],[-1]
['C7H15NO3'],[0]
['C4H5N3O'],[0]
['C7H13NO2'],[0]
['C9H12N3O14P3'],[-4]
['Cu'],[2]
['C3H7NO2S'],[0]
"['C3H7NO2SX', 'C3H7NOSR', 'C18H28NO17P2SR3', 'C3H6NOSR']","[1, -2]"
['C9H21N2O2'],[1]
['C4H7O6P'],[-2]
"['C10H19ORS', 'C394H621O143N96P1S3', 'C21H39N2O8PRS', 'C10H19OSR']","[0, -1]"
['C9H13N3O4'],[0]
['C33H54N7O17P3S'],[-4]
['C12H24O5P1'],[-1]
['C10H12N5O7P'],[-2]
['C2H2NO2'],[-1]
['C11H7O4'],[-1]
['C9H12N5O7P'],[-2]
['C9H9O4'],[-1]
['C6H6N4'],[0]
"['C10H15N4O13P3', 'C10H11N4O13P3']","[0, -4]"
['C9H10N2'],[0]
['C13H18N4O6'],"[0, -1]"
['XH2'],[0]
['C16H26N3O14P2'],[-1]
['C10H13N2O8P'],[-2]
['C9H11N2O11P2'],[-3]
['C9H12N2O5'],[0]
['C30H27N3O15'],[0]
['C2H6O'],[0]
['C27H33N9O15P2'],[-2]
['CH2O'],[0]
['C6H11O8P'],[-2]
['Fe'],[3]
['C9H18O6N3Fe'],[0]
"['C8H13N2O9P', 'C8H12N2O9P']",[-2]
['XH'],[0]
"['C17H19N4O9P', 'C17H18N4O9P']","[-3, -2]"
"['C8H14N3O8P', 'C8H15N3O8P']","[-1, -2]"
['C6H12O6'],[0]
['C12H25N2O7'],[1]
['C12H24N2O10P'],[-1]
['C6H11O9P'],[-2]
"['C3H9O6P', 'C3H5O6P']","[0, -2]"
['C6H13NO8P'],[-1]
"['C151H261N2O80P4', 'C157H271N2O84P4']",[-11]
['C6H9O7'],[-1]
"['C7H13N2O8P', 'C7H14N2O8P']",[-1]
['C77H125N1O22P2'],[-2]
['C7H15NO2'],[0]
['C10H12N5O11P2'],[-3]
['C16H21N5O15P2'],[-2]
['C16H23N5O16P2'],[-2]
['C83H135N1O27P2'],[-2]
['C9H16O4N2'],[0]
['C6H12O6'],[0]
['C6H8O8'],[-2]
['C6H9O7'],[-1]
['C5H10N2O3'],[0]
['C5H8NO4'],"[0, -1]"
['C5H9NO3'],[0]
['C5H8NO7P'],[-2]
['C3H6O3'],[0]
['C3H8O3'],[0]
"['C6H10O5', 'C12H21O10R']",[0]
"['C2H4NOR', 'C17H26NO17P2R3', 'C2H5NO2X', 'C2H5NOR']","[1, -2]"
['C7H13O10P'],"[0, -2]"
['C7H13O10P'],[-2]
['C20H24N10O21P4'],[-4]
"['C10H13N5O5', 'C10H12N5O5']",[0]
"['C20H30N6O12S2', 'C20H28N6O12S2']",[-2]
['C17H36N6O5S'],[2]
"['C5H4N5O', 'C5H5N5O']",[0]
['C16H29O2'],[-1]
['C16H30O5P'],[-1]
"['C17H31N2O8PRS', 'C6H11OSR', 'C390H613O143N96P1S3', 'C6H11OX']","[0, -1]"
"['C6H13N3O', 'C6H12N3O']",[1]
['C9H6O6'],[-2]
['C11H18N3O7S'],[-1]
['C131H231N2O60P3'],[-8]
['C6H6O2'],[0]
['C27H42N7O17P3S'],[-4]
['C10H8O6'],[-2]
['C6H5O7'],[-3]
['C6H11O7'],[-1]
['C10H11N4O11P2'],[-3]
['C6H13NO2'],[0]
"['C6H8N2O5P', 'C6H7N2O5P']","[-2, -1]"
['H8O2S6R'],[0]
['H4O2S8Fe2R'],[-2]
['C2H5O4S'],[-1]
['C10H11N4O14P3'],[-4]
['K'],[1]
['C76H137N2O30P2'],[-5]
['C3H6O2'],[0]
"['C13H20N3O8S', 'C13H19N3O8S']",[-1]
['C8H13OS2'],[1]
"['C6H15N2O2X', 'C21H36N2O17P2R3', 'C6H14N2OR', 'C6H15N2OR']","[2, -1]"
['C24H42O21'],[0]
['C6H11O9P'],[-2]
"['C9H14O12P', 'C9H17O12P']","[0, -3]"
['C6H11O7'],[-1]
['C5H8O4'],[0]
"['C5H10NO2S', 'C5H11NO2S']","[0, -1]"
"['C20H21N7O6', 'C20H20N7O6']",[-1]
['Mg'],[2]
['C6H11O9P'],"[0, -2, -1]"
['C6H13O9P'],[-2]
"['C20H22N10O12P2S2Cu', 'C20H26N10O12P2S2']",[-2]
['C51H72O2'],[0]
['CH3O3S'],[-1]
['N2O'],[0]
['C21H27N7O14P2'],"[0, -2]"
['NO2'],"[0, -1]"
['O2'],[-1]
['C29H44N7O17P3S'],[-4]
"['C19H35N2O8PRS', 'C8H15ORS', 'C8H15OSR', 'C392H617O143N96P1S3']","[0, -1]"
['C29H46N7O17P3S'],[-4]
['C18H34O5P'],[-1]
['C5H5O3'],[-1]
['C10H10N2O11P'],[-3]
['C2O4'],[-2]
"['C35H67O8P1', 'C35H67O8P']",[-2]
"['C35H63O8P', 'C35H63O8P1']",[-2]
"['C16H31OX', 'C16H31ORS', 'C400H633O143N96P1S3', 'C16H31OSR', 'C27H51N2O8PRS']","[0, -1]"
"['C10H11N5O13P2S', 'C10H11N5O10P2']",[-4]
['C8H10NO6P'],[-2]
"['C33H66N1O8P1', 'C33H66NO8P']",[0]
['C33H62N1O8P1'],[0]
"['C41H82N1O8P1', 'C41H82NO8P']",[0]
['C3H2O6P'],[-3]
['C42H78O10P1'],[-1]
['C30H57O13P2'],[-3]
['C42H81O13P2'],[-3]
['C42H77O13P2'],[-3]
['C4H8NO6P'],[-2]
['C37H62N7O17P3S'],[-4]
"['C10H11N5O17P4', 'C10H12N5O17P4']","[-6, -5]"
['C10H8O6'],[-2]
"['HO10P3', 'H1O10P3']",[-4]
['C9H9O2'],[-1]
"['C15H22N5O15P2', 'C15H21N5O15P2']","[-4, -3]"
['C5H9NO2'],"[0, -1]"
"['C20H30NO17P2R3', 'C5H8NOR', 'C5H9NO2X', 'C5H9NOR']","[1, -2]"
['C34H61N1O10P1'],[-1]
['C4H14N2'],[2]
['C3H3O3'],"[0, -1]"
"['C7H11O6', 'C7H12O6']","[0, -1]"
['C17H22N4O6'],[0]
['C5H10O5'],[0]
['C29H38N7O18P3S'],[-4]
['C6H12O5'],[0]
['C32H39N7O20P3S'],[-5]
"['H2Se', 'H1Se', 'HSe']",[-1]
['C3H7NO3'],[0]
['C13H19N6O9P'],[0]
['C42H36FeN4O16'],[-8]
['C11H12NO8'],[-3]
"['SO4', 'O4S']",[-2]
['C7H22N3'],[3]
['C39H66N7O17P3S'],[-4]
['C10H17N4O5'],[-1]
['C25H35N7O19P3S'],[-5]
['C8H12NO6'],[-1]
['HSR'],[0]
"['C402H633O143N96P1S3', 'C29H51N2O8PRS']",[-1]
"['C27H47N2O8PRS', 'C400H629O143N96P1S3']",[-1]
['C6H11O9P'],"[-2, -1]"
"['C2H7NO3S', 'C2H6NO3S']","[0, -1]"
['C35H56N7O17P3S'],[-4]
"['C402H635O143N96P1S3', 'C18H33OSR', 'C29H53N2O8PRS']","[0, -1]"
"['C6H7NO2S2R2', 'C10H12N4O4S2R4', 'X']",[0]
"['C10H14N4O4S2R4', 'C6H9NO2S2R2', 'XH2']",[0]
['C12H22O11'],[0]
"['C15H23O16P2R3', 'HOX', 'HR', 'R', 'C15H21N5O10PR']","[0, -2, -1]"
"['C10H17O10PR2', 'HOX', 'HR', 'R', 'C15H23O16P2R3']","[0, -2]"
"['C10H17O10PR2', 'HOX', 'HR', 'R', 'C15H23O16P2R3']","[0, -2]"
"['C10H17O10PR2', 'HOX', 'HR', 'R', 'C15H23O16P2R3']","[0, -2]"
['C14H26O5P'],[-1]
['C60H100N1O7P1'],[0]
"['C20H29N3O19P2', 'C20H26N3O19P2']","[0, -3]"
['C87H139N7O23P2'],[-4]
['C9H11N2O12P2'],[-3]
['C15H22N2O17P2'],[-2]
['C38H56N8O27P2'],[-4]
['C63H103NO12P2'],[-2]
['C79H126N3O22P2'],[-3]
['C40H36N4O16'],[-8]
['C9H12N2O6'],[0]
['C9H11N2O15P3'],[-4]
['C10H11N4O9P'],[-2]
['C5H9O8P'],[-2]
"['C36H62O31', 'C6H10O5', 'C6H11O5R']",[0]
['C5H16N2'],[2]
['C10H12N5O7P'],[-2]
['C9H9O3'],[-1]
['C8H8O2'],[0]
['C6H12O4S'],[0]
['C2H4O'],[0]
['C8H15NO6'],[0]
['C11H18NO8'],[-1]
['C5H9NO4'],[0]
['Ag'],[1]
['C5H4O5'],"[0, -2]"
['C3H7NO2'],[0]
['C3H7NO2'],[0]
['C5H10O5'],[0]
['AsO3'],"[-3, -1]"
['C10H15N2O3S'],[-1]
['C4H9O3S'],[-1]
['C7H15NO3'],[0]
['C3H7NO2S'],[0]
['C9H13N3O5'],[0]
['C12H23O2'],[-1]
['C3H6O3'],[0]
"['C10H12N4O7P', 'C10H11N4O7P']","[-2, -1]"
['C10H12N4O4'],[0]
['C27H29NO11'],[0]
['C9H11N2O8P'],[-2]
['C112H202N3O42P3'],[-6]
['Fe'],[2]
['C12H10FeO14'],[-3]
['C27H42FeN9O12'],[0]
"['C25H46FeN6O8', 'C25FeH46N6O8']",[1]
['C25H46N6O8'],[-2]
['C6H9O7'],[-1]
['C6H12O5'],[0]
['C8H20NO6P'],[0]
['C5H14NO6P'],[0]
['C9H18O11P'],[-1]
['C6H11O7'],[-1]
['C6H8O10P'],[-3]
['C3H5O4'],"[0, -1]"
['C3H7O6P'],[-2]
['C2H3O3'],[-1]
['H'],"[0, 1]"
['H2'],[0]
['H2O'],[0]
"['C186H323N2O97P4', 'C192H333N2O101P4']",[-11]
['C126H226N2O40P2'],[-6]
['C16H31O2'],[-1]
['Hg'],[2]
['C6H9N3O2'],[0]
['C4H9NO3'],[0]
['C5H4N4O'],[0]
['C10H11N4O8P'],[-2]
['C8H7N'],[0]
['C12H22O11'],[0]
['C110H196N2O39P2'],[-6]
['C114H202N2O39P2'],[-6]
['C12H22O11'],[0]
['C36H62O31'],[0]
['C30H52O26'],[0]
['C5H11NO2S'],[0]
['C5H11NO3S'],[0]
['Ni'],[2]
['C18H33O2'],[-1]
['C8H12N'],[1]
['C9H11NO2'],[0]
['C7H12N2O3'],[0]
['C12H25N2O7'],[1]
['C3H6NO6P'],"[-2, -1]"
['C8H9NO3'],[0]
['C5H9O8P'],[-2]
['C5H10O5'],[0]
['O4Se'],[-2]
['C3H7NO3'],[0]
['C4H4O4'],[-2]
['C12H22O11'],[0]
['C4H4O6'],[-2]
['C4H9NO3'],[0]
['C10H14N2O5'],[0]
['C3H10N'],[1]
['C3H9NO'],[0]
['C14H25O2'],[-1]
['C9H11N2O9P'],[-2]
['C4H4N2O2'],[0]
"['CH5N2O', 'CH4N2O']",[0]
['C5H4N4O2'],[0]
['C5H10O5'],[0]
['Zn'],[2]
['C35H64O5'],[0]
['C3H8O2'],[0]
['C19H38NO7P1'],[0]
['C18H36O9P1'],[-1]
['C22H44O9P1'],[-1]
['C15H29O7P1'],[-2]
"['C19H35O7P1', 'C19H35O7P']",[-2]
"['C19H37O7P1', 'C19H37O7P']",[-2]
"['C21H39O7P', 'C21H39O7P1']",[-2]
['C7H14N2O4'],[0]
['C23H46NO7P1'],[0]
['C22H44O9P1'],[-1]
['C22H42O9P1'],[-1]
['C24H48O9P1'],[-1]
['C24H46O9P1'],[-1]
['C17H34O7P1'],[-1]
['C3H5O3'],[-1]
['C8H13N2O5'],[-1]
['C18H30N5O9'],[-1]
['C8H15NO6'],[0]
['C8H14NO9P'],[-2]
['C11H18NO9'],[-1]
"['C175H304N3O99P4', 'C181H314N3O103P4']",[-9]
['C5H16N4'],[2]
['C6H12O6'],[0]
['C10H12N5O7P'],[-2]
['C37H57N7O20'],[-2]
['C22H33N4O13'],[-3]
['C4H6NO4'],"[0, -1]"
['C4H7O2'],[-1]
['C48H72CoN11O8'],[0]
['Cd'],[2]
['Cl'],[-1]
['C65H116O17P2'],[-2]
['C81H148O17P2'],[-2]
['C11H12Cl2N2O5'],[0]
['C9H12N3O8P'],[-2]
['C7H15NO3'],[0]
['C4H5N3O'],[0]
['C7H13NO2'],[0]
['Cu'],[2]
['C3H7NO2S'],[0]
['C9H13N3O4'],[0]
['C10H12N5O7P'],[-2]
['X'],[0]
['X'],[0]
['C10H13N2O8P'],[-2]
['C9H12N2O5'],[0]
"['C272H447N14O160P4', 'C266H437N14O156P4']",[-15]
['C30H27N3O15'],[0]
['C2H6O'],[0]
['CH2O'],[0]
['Fe'],[3]
