formulae,charges
"['C15H23O16P2R3', 'HOX', 'HR', 'R', 'C15H21N5O10PR']","[0, -2]"
"['C10H17O10PR2', 'HOX', 'HR', 'R', 'C15H23O16P2R3']","[0, -2]"
"['C10H17O10PR2', 'HOX', 'HR', 'R', 'C15H23O16P2R3']","[0, -2]"
"['C15H23O16P2R3', 'HR', 'R', 'C15H21N5O10PR']","[0, -2]"
['C14H25O2'],[-1]
['C31H51N3O19P2'],[-2]
['C29H50N3O18P2'],[-1]
['C17H22N3O18P2'],[-3]
['C23H33N4O20P2'],[-3]
['C28H39N5O23P2'],[-4]
['C20H28N3O19P2'],[-3]
['C55H89O7P2'],[-3]
['C15H21N3O16P2'],[-2]
['C41H61N9O28P2'],[-4]
['C9H11N2O9P'],[-2]
['C4H4N2O2'],[0]
['C4H6N2O4'],[0]
"['CH5N2O', 'CH4N2O']",[0]
['C10H10N5O8PS2W'],[-2]
['C5H4N4O2'],[0]
['C10H11N4O15P3'],[-4]
['C5H10O5'],[0]
['Zn'],[2]
['C3H8O2'],[0]
['C7H14N2O4'],[0]
['C3H5O3'],[-1]
['C8H13N2O5'],[-1]
['C18H30N5O9'],[-1]
['C8H15NO6'],[0]
['C8H14NO9P'],[-2]
['C11H18NO9'],[-1]
"['C175H304N3O99P4', 'C181H314N3O103P4']",[-9]
['C5H16N4'],[2]
['C6H12O6'],[0]
['C10H12N5O7P'],[-2]
['C22H33N4O13'],[-3]
['C4H6NO4'],"[0, -1]"
['C4H7O2'],[-1]
['C48H72CoN11O8'],[0]
['Cd'],[2]
['Cl'],[-1]
['C11H12Cl2N2O5'],[0]
['C9H12N3O8P'],[-2]
['C7H15NO3'],[0]
['C4H5N3O'],[0]
['Cu'],[2]
['C3H7NO2S'],[0]
['C9H13N3O4'],[0]
['C10H12N5O7P'],[-2]
['C10H13N2O8P'],[-2]
['C9H12N2O5'],[0]
"['C272H447N14O160P4', 'C266H437N14O156P4']",[-15]
['C30H27N3O15'],[0]
['C2H6O'],[0]
['CH2O'],[0]
['Fe'],[3]
['C9H18O6N3Fe'],[0]
['C6H12O6'],[0]
['C12H25N2O7'],[1]
['C6H11O9P'],[-2]
['C6H13NO8P'],[-1]
['C6H14O6'],[0]
['C6H9O7'],[-1]
['C6H14NO5'],[1]
['C7H15NO2'],[0]
['C10H12N5O11P2'],[-3]
['C6H12O6'],[0]
['C6H8O8'],[-2]
['C6H9O7'],[-1]
['C5H10N2O3'],[0]
['C5H8NO4'],"[0, -1]"
['C3H6O3'],[0]
['C3H8O3'],[0]
"['C10H13N5O5', 'C10H12N5O5']",[0]
"['C20H30N6O12S2', 'C20H28N6O12S2']",[-2]
"['C5H4N5O', 'C5H5N5O']",[0]
['C16H29O2'],[-1]
['C6H11O7'],[-1]
['C6H13NO2'],[0]
['C2H5O4S'],[-1]
['K'],[1]
['C24H42O21'],[0]
"['C5H10NO2S', 'C5H11NO2S']","[0, -1]"
['Mg'],[2]
['C23H27N3O7'],[0]
"['C6H6O24P6', 'C6H10O24P6']",[-12]
['C6H14O6'],[0]
['CH3O3S'],[-1]
['N2O'],[0]
['NO2'],"[0, -1]"
['C31H36N2O11'],[0]
['C312H523N6O200P4'],[-11]
['O2'],[-1]
['C9H9O2'],[-1]
['C5H9NO2'],"[0, -1]"
['C4H14N2'],[2]
['C3H3O3'],"[0, -1]"
